,Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,SOS,Rk,PTS.1,TS%,eFG%,Pos,Player-additional
61,E.J. Liddell,2021-22,Ohio State,Big Ten,JR,32.0,32.0,33.2,6.3,12.9,0.49,4.9,9.1,0.54,1.4,3.8,0.374,5.3,6.9,0.765,2.3,5.7,7.9,2.5,0.6,2.6,2.4,2.5,19.4,,9.08,,,,,,
62,Trevor Keels,2021-22,Duke,ACC,FR,36.0,26.0,30.2,4.1,9.8,0.419,2.6,4.9,0.522,1.5,4.8,0.312,1.8,2.7,0.67,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,,7.26,,,,,,
63,Moussa Diabaté,2021-22,Michigan,Big Ten,FR,32.0,26.0,24.9,3.7,6.8,0.542,3.6,6.3,0.564,0.1,0.4,0.214,1.6,2.6,0.619,2.4,3.6,6.0,0.8,0.3,0.9,1.5,2.7,9.0,,11.02,,,,,,
64,Ryan Rollins,2020-21,Toledo,MAC,FR,30.0,30.0,30.2,4.9,11.3,0.431,3.5,7.1,0.495,1.4,4.2,0.323,2.6,3.3,0.786,1.0,4.2,5.2,2.5,1.1,0.1,2.4,2.7,13.7,,-1.88,,,,,,
65,Ryan Rollins,2021-22,Toledo,MAC,SO,34.0,34.0,32.7,6.8,14.6,0.468,5.4,10.1,0.536,1.4,4.4,0.311,3.8,4.8,0.802,0.7,5.3,6.0,3.6,1.7,0.3,2.2,2.4,18.9,,-3.22,,,,,,
66,Josh Minott,2021-22,Memphis,AAC,FR,33.0,5.0,14.6,2.5,4.8,0.522,2.5,4.4,0.559,0.1,0.4,0.143,1.5,2.0,0.754,1.6,2.2,3.8,0.9,0.8,0.7,0.9,1.8,6.6,,7.86,,,,,,
67,Vince Williams Jr.,2018-19,VCU,A-10,FR,33.0,0.0,15.5,1.5,3.3,0.459,1.3,2.5,0.524,0.2,0.8,0.24,1.7,2.4,0.688,1.0,2.3,3.3,1.0,1.0,0.4,1.5,2.0,4.9,,2.87,,,,,,
68,Vince Williams Jr.,2019-20,VCU,A-10,SO,21.0,3.0,16.4,1.3,3.8,0.342,1.0,2.3,0.429,0.3,1.4,0.2,1.4,1.7,0.806,0.9,1.9,2.8,1.0,1.0,0.4,1.3,2.1,4.2,,4.08,,,,,,
69,Vince Williams Jr.,2020-21,VCU,A-10,JR,26.0,22.0,28.6,3.2,7.8,0.414,1.6,3.8,0.414,1.7,4.0,0.413,2.5,3.2,0.793,1.1,4.1,5.2,2.2,1.0,0.2,1.8,2.2,10.6,,4.76,,,,,,
70,Vince Williams Jr.,2021-22,VCU,A-10,SR,30.0,29.0,32.4,4.6,9.6,0.477,2.4,4.0,0.605,2.2,5.6,0.387,2.8,3.4,0.814,0.9,5.1,6.0,3.0,1.6,1.1,2.9,2.9,14.1,,5.17,,,,,,
71,Kendall Brown,2021-22,Baylor,Big 12,FR,34.0,34.0,27.0,3.9,6.6,0.584,3.5,5.4,0.638,0.4,1.2,0.341,1.5,2.2,0.689,1.7,3.1,4.9,1.9,1.0,0.4,1.7,2.3,9.7,,8.76,,,,,,
72,Isaiah Mobley,2019-20,USC,Pac-12,FR,31.0,8.0,20.3,2.4,5.0,0.474,2.1,4.1,0.516,0.3,0.9,0.286,1.2,2.3,0.521,1.5,3.7,5.3,1.0,0.6,0.6,1.5,2.2,6.2,,7.22,,,,,,
73,Isaiah Mobley,2020-21,USC,Pac-12,SO,32.0,32.0,28.0,3.7,7.9,0.472,3.2,6.7,0.479,0.5,1.2,0.436,1.9,3.5,0.545,2.6,4.7,7.3,1.6,0.4,0.9,1.2,2.4,9.9,,10.65,,,,,,
74,Isaiah Mobley,2021-22,USC,Pac-12,JR,32.0,32.0,34.1,5.0,11.3,0.445,3.7,7.5,0.492,1.3,3.8,0.352,2.8,4.0,0.682,2.2,6.1,8.3,3.3,0.8,0.9,1.9,2.0,14.2,,6.09,,,,,,
75,Tyrese Martin,2018-19,Rhode Island,A-10,FR,33.0,19.0,27.0,3.0,7.2,0.418,2.0,4.0,0.504,1.0,3.2,0.311,1.1,1.6,0.648,1.9,3.3,5.2,1.0,0.8,0.3,1.4,2.1,8.1,,1.19,,,,,,
76,Tyrese Martin,2019-20,Rhode Island,A-10,SO,30.0,30.0,34.2,4.9,11.4,0.433,3.5,6.8,0.507,1.5,4.6,0.321,1.5,2.3,0.662,2.1,5.0,7.0,1.1,1.1,0.3,2.0,2.4,12.8,,4.78,,,,,,
77,Tyrese Martin,2020-21,UConn,Big East,JR,22.0,21.0,30.1,3.9,8.8,0.44,3.1,6.5,0.483,0.7,2.3,0.32,1.9,2.8,0.672,3.0,4.5,7.5,1.0,1.0,0.5,1.4,1.9,10.3,,8.59,,,,,,
78,Tyrese Martin,2021-22,UConn,Big East,SR,29.0,29.0,32.1,5.0,11.1,0.449,3.5,7.6,0.457,1.5,3.4,0.43,2.1,3.1,0.689,2.3,5.2,7.5,1.9,0.8,0.5,1.8,2.1,13.6,,6.88,,,,,,
79,JD Davison,2021-22,Alabama,SEC,FR,33.0,5.0,25.8,3.0,6.5,0.463,2.2,4.0,0.565,0.8,2.5,0.301,1.8,2.5,0.728,1.1,3.7,4.8,4.3,1.0,0.4,2.9,1.2,8.5,,11.59,,,,,,
80,Jabari Walker,2020-21,Colorado,Pac-12,FR,26.0,0.0,14.2,2.7,5.1,0.526,1.8,3.4,0.528,0.9,1.7,0.523,1.3,1.7,0.778,1.3,3.0,4.3,0.5,0.5,0.5,1.1,2.1,7.6,,9.57,,,,,,
81,Jabari Walker,2021-22,Colorado,Pac-12,SO,33.0,33.0,28.1,4.8,10.5,0.461,3.8,7.4,0.51,1.1,3.2,0.346,3.8,4.9,0.784,2.1,7.3,9.4,1.2,0.7,0.7,2.3,2.5,14.6,,6.15,,,,,,
82,Cade Cunningham,2020-21,Oklahoma State,Big 12,FR,27.0,26.0,35.4,6.5,14.8,0.438,4.2,9.1,0.461,2.3,5.7,0.4,4.9,5.8,0.846,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1,,9.78,,,,,,
83,Evan Mobley,2020-21,USC,Pac-12,FR,33.0,33.0,33.9,6.0,10.3,0.578,5.6,9.1,0.615,0.4,1.2,0.3,4.1,5.8,0.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,,10.65,,,,,,
84,Scottie Barnes,2020-21,Florida State,ACC,FR,24.0,7.0,24.8,4.1,8.1,0.503,3.6,6.5,0.561,0.5,1.7,0.275,1.7,2.8,0.621,1.5,2.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3,,9.16,,,,,,
85,Jalen Suggs,2020-21,Gonzaga,WCC,FR,30.0,30.0,28.9,5.2,10.3,0.503,4.0,6.8,0.588,1.2,3.5,0.337,2.9,3.8,0.754,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,,5.92,,,,,,
86,Franz Wagner,2019-20,Michigan,Big Ten,FR,27.0,27.0,30.8,4.2,9.3,0.452,2.7,4.4,0.61,1.5,4.9,0.311,1.7,2.0,0.833,0.9,4.7,5.6,1.0,1.3,0.6,1.5,2.5,11.6,,11.17,,,,,,
87,Franz Wagner,2020-21,Michigan,Big Ten,SO,28.0,28.0,31.7,4.4,9.3,0.477,3.2,5.6,0.563,1.3,3.6,0.343,2.4,2.8,0.835,0.7,5.8,6.5,3.0,1.3,1.0,1.3,2.2,12.5,,11.25,,,,,,
88,Davion Mitchell,2017-18,Auburn,SEC,FR,34.0,0.0,17.1,1.3,3.1,0.429,0.9,1.6,0.566,0.4,1.5,0.288,0.6,0.9,0.677,0.3,0.9,1.1,1.9,0.5,0.0,1.1,2.1,3.7,,7.29,,,,,,
