,id,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,season,player_id
135,15536379,25,0,5,0,5,3,3,1,0,1,2,1,2,2,1,3,0.0,0.0,1.0,2024,81
136,15536380,23,3,12,1,6,0,0,0,1,1,6,0,0,2,4,7,0.25,0.1666667,0.0,2024,666581
137,15536381,19,6,7,2,2,0,0,1,1,2,6,2,0,2,1,14,0.8571429,1.0,0.0,2024,666676
138,15536382,34,5,16,2,6,1,2,0,3,3,7,1,0,5,4,13,0.3125,0.3333333,0.5,2024,409
139,15536383,15,3,4,0,0,1,4,0,5,5,0,1,1,0,3,7,0.75,0.0,0.25,2024,666508
140,15536384,15,2,6,1,3,2,2,3,3,6,0,1,1,1,1,7,0.3333333,0.3333333,1.0,2024,56677843
141,15536388,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2024,320
142,15536390,16,3,6,2,3,1,2,1,2,3,1,0,0,1,2,9,0.5,0.6666667,0.5,2024,17896027
143,15536391,34,3,7,2,5,8,8,1,3,4,1,0,0,1,5,16,0.4285714,0.4,1.0,2024,56677722
144,15536396,36,3,11,1,6,3,4,1,7,8,6,0,6,4,4,10,0.2727273,0.1666667,0.75,2024,283
145,15536397,35,3,6,2,5,3,3,0,2,2,0,0,0,0,5,11,0.5,0.4,1.0,2024,3089
146,15536398,21,8,9,2,2,1,2,0,1,1,4,0,0,0,1,19,0.8888889,1.0,0.5,2024,277
147,15536399,16,2,4,1,3,2,2,0,0,0,1,0,0,0,4,7,0.5,0.3333333,1.0,2024,3547299
148,15536400,18,4,5,3,4,0,0,0,1,1,0,0,0,1,1,11,0.8,0.75,0.0,2024,344
149,15536401,19,1,2,0,0,1,2,0,2,2,2,0,1,1,1,3,0.5,0.0,0.5,2024,3547247
150,15536402,9,2,5,0,2,0,0,0,0,0,1,0,0,0,0,4,0.4,0.0,,2024,56677872
151,15536403,8,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0.5,0.0,0.0,2024,444
152,15536404,7,1,1,1,1,1,2,0,2,2,1,0,0,2,2,4,1.0,1.0,0.5,2024,1028028993
153,15536409,38,9,19,6,12,6,7,3,6,9,6,0,0,3,1,30,0.4736842,0.5,0.8571429,2024,278
154,15536410,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2024,38017676
155,15536411,21,4,9,1,5,0,0,1,3,4,1,0,1,0,1,9,0.4444444,0.2,0.0,2024,105
156,15536412,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,2024,38017733
157,15536413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2024,56677852
158,15536414,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2024,1028026717
159,15536416,26,7,10,1,1,1,1,1,2,3,3,2,1,4,4,16,0.7,1.0,1.0,2024,377
160,15536417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2024,38017712
161,15536418,2,2,3,1,2,0,0,1,0,1,0,0,0,0,1,5,0.6666667,0.5,0.0,2024,1028038570
162,15536419,13,1,3,0,1,0,0,0,0,0,0,1,0,0,0,2,0.3333333,0.0,0.0,2024,487
163,15536786,28,4,9,3,6,2,2,0,7,7,1,1,1,2,1,13,0.4444444,0.5,1.0,2024,56677837
164,15536788,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,2024,1028245777
165,15536789,23,5,8,0,0,2,2,3,4,7,1,1,3,1,2,12,0.625,0.0,1.0,2024,1028027567
166,15536790,1,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,2024,1028038100
167,15536791,7,2,3,2,3,0,0,0,1,1,1,0,0,0,1,6,0.6666667,0.6666667,0.0,2024,17896021
168,15536827,33,1,6,0,3,0,0,1,3,4,2,2,0,0,3,2,0.1666667,0.0,0.0,2024,17896024
169,15536828,31,13,23,3,5,4,4,2,5,7,2,2,1,3,4,33,0.5652174,0.6,1.0,2024,227
170,15536829,18,3,5,0,1,2,2,0,2,2,3,2,3,2,2,8,0.6,0.0,1.0,2024,439
171,15536845,30,9,19,5,11,0,0,0,2,2,5,1,1,0,1,23,0.4736842,0.4545455,0.0,2024,303
172,15536846,30,4,15,0,3,6,7,0,8,8,10,1,0,1,0,14,0.2666667,0.0,0.8571429,2024,334
173,15536847,13,1,3,1,3,0,0,0,0,0,3,1,0,0,3,3,0.3333333,0.3333333,0.0,2024,17896097
174,15536854,25,3,3,0,0,3,4,0,3,3,1,4,0,1,0,9,1.0,0.0,0.75,2024,666604
175,15536888,37,10,17,5,8,2,3,1,4,5,3,0,0,7,4,27,0.5882353,0.625,0.6666667,2024,268
176,15536889,24,2,7,1,4,1,2,2,1,3,3,1,1,2,0,6,0.2857143,0.25,0.5,2024,3547248
177,15536890,14,2,4,1,3,0,0,0,2,2,4,0,0,1,2,5,0.5,0.3333333,0.0,2024,27
178,15536891,5,0,3,0,3,0,0,0,2,2,1,0,0,0,1,0,0.0,0.0,0.0,2024,1028025177
179,15536894,25,4,6,0,2,0,0,0,4,4,3,0,0,2,2,8,0.6666667,0.0,0.0,2024,17895983
180,15536895,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1.0,1.0,0.0,2024,17896030
181,15536896,7,0,1,0,0,0,2,0,2,2,1,0,0,1,0,0,0.0,0.0,0.0,2024,666650
182,15536897,31,8,12,1,2,4,5,2,9,11,1,0,0,1,3,21,0.6666667,0.5,0.8,2024,460
183,15536898,35,4,13,0,5,2,2,0,8,8,6,1,1,4,1,10,0.308,0.0,1.0,2024,666956
184,15536899,30,5,11,0,1,4,7,1,4,5,3,0,0,3,1,14,0.4545455,0.0,0.5714286,2024,17896065
185,15536900,11,1,3,0,2,0,0,0,0,0,1,1,0,0,0,2,0.3333333,0.0,0.0,2024,56677857
186,15536901,17,5,8,1,3,4,4,3,2,5,0,1,0,0,2,15,0.625,0.3333333,1.0,2024,3547264
187,15536902,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2024,38017719
188,15536921,31,1,6,0,3,0,0,1,2,3,0,0,0,0,4,2,0.1666667,0.0,0.0,2024,66
189,15536922,33,2,7,2,5,2,3,1,4,5,1,0,1,0,2,8,0.2857143,0.4,0.6666667,2024,38017684
